fullname,full_address,gpt-response
"Key laboratory of Bio-based Materials and Energy, Ministry of Education","Guangzhou, 510642, China",South China University of Technology
"Key Laboratory of Advanced Optoelectronic Quantum Architecture and Measurement, Beijing Institute of Technology, School of Physics, Ministry of Education","Beijing, 100081, China",Beijing Institute of Technology
"School of Aerospace Engineering and Applied Mechanics, Key Laboratory of Advanced Civil Engineering Materials, Ministry of Education","Shanghai, 200092, China",Tongji University
Key Laboratory for Geophysical Instrumentation of Ministry of Education,"Changchun, 130061, China",Unknown
Ministry of Education Key Laboratory of Yangtze River Water Environment,"Shanghai, 200092, China",Tongji University
"Key Laboratory of Synergetic and Biological Colloids, Ministry of Education","1800 LiHu Avenue, Wuxi 214122, Jiangsu Province, China",Jiangnan University
"Key Laboratory of Optical Information Science and Technology of Ministry of Education, Nankai Univeristy","Tianjin, 300071, China",Nankai University
"Key Laboratory of Functional Small Organic Molecule, Ministry of Education, College of Life Science","Nanchang, Jiangxi 330022, 99 Ziyang Road, China",Nanchang University
"Key Laboratory of Forestry Plant Ecology, Ministry of Education","Harbin, 150040, China",Northeast Forestry University
"Key Laboratory of Systems Bioengineering (Ministry of Education), Synbio Research Platform, Collaborative Innovation Center of Chemical Science and Engineering (Tianjin), School of Chemical Engineering and Technology","Tianjin, 300072, China",Tianjin University
Key Laboratory of Regulating and Controlling Crop Growth and Development Ministry of Education,"Henan, Zhengzhou, 450046, China",Henan Agricultural University
"The Key Laboratory of Water and Sediment Sciences, Ministry of Education, College of Environmental Sciences and Engineering","Beijing, 100871, China",Peking University
"Key Laboratory for Micro-Nano Optoelectronic Devices, Ministry of Education, School of Physics and Microelectronics","Changsha, 410082, China",Hunan University
"The Key Laboratory of Specially Functional Materials and Advanced Manufacturing Technology, Ministry of Education","Guangzhou, 510640, China",South China University of Technology
"Center for Instrumental Analysis, Key Laboratory of Drug Quality Control and Pharmacovigilance, Ministry of Education","Gulou District, Nanjing, Jiangsu 210009, Number 24, Tongjiaxiang, China",China Pharmaceutical University
"Key Laboratory for Corrosion and Protection, Ministry of Education of China","Beijing 100083, China",Unknown
"Key Laboratory of Chemistry and Technology for Light Chemical Industry, Ministry of Education","Xi'an, China",Shaanxi University of Science and Technology
Key Laboratory of Gas and Fire Control for Coal Mines of Ministry of Education,"XuZhou, China",China University of Mining and Technology
"Key Laboratory of Yangtze River Water Environment, Ministry of Education, College of Environmental Science and Engineering","Shanghai 200092, China",Tongji University
"Key Laboratory of Metallurgical Emission Reduction & Resources Recycling, Ministry of Education","Maanshan, 243002, China",Unknown
Key Laboratory of Nonferrous Materials and New Processing Technology of Ministry of Education,"Guilin 541004, China",Guilin University of Technology
"Key Lab of Structural Engineering and Control, Ministry of Education, Harbin Institute of Technology","Harbin, 150090, Heilongjiang, China",Harbin Institute of Technology
"Key Lab of Liquid Structure and Heredity of Materials, Ministry of Education, School of Materials Science and Engineering","Jinan, 250061, China",Shandong University
Key Laboratory for Solid Waste Management and Environment Safety Ministry of Education of China,"Beijing, 100084, China",Tsinghua University
"Key Laboratory of Microsystems and Microstructures Manufacturing Ministry of Education, Harbin Institute of Technology","Heilongjiang, Harbin, China",Harbin Institute of Technology
"Key Laboratory of Bioorganic Chemistry and Molecular Engineering, Ministry of Education, Beijing National Laboratory of Molecular Sciences","Beijing 100871, China",Peking University
"Key Laboratory of High-Speed Railway Engineering, Ministry of Education","Chengdu, 611756, China",Unknown
Ministry of Education Key Laboratory of Gas and Fire Control for Coal Mines,"Xuzhou, Jiangsu, 221116, China",China University of Mining and Technology
"The Key Laboratory of Clinical Neurology, Ministry of Education","Hebei, Shijiazhuang, China",Hebei Medical University
"Key Laboratory of Advanced Technologies of Materials, Ministry of Education, School of Materials Science and Science","Chengdu, 610031, China",Sichuan University
"Key Laboratory of Urban Stormwater System and Water Environment, Ministry of Education","Beijing, China",Beijing University of Civil Engineering and Architecture
"Key Laboratory of Symbol Computation and Knowledge Engineering, Ministry of Education","Changchun, Jilin, 130012, China",Jilin University
"Engineering Research Center for Waste Oil Recovery Technology and Equipment, Ministry of Education","Chongqing 400067, China",Chongqing University
"Key Laboratory of Freshwater Fish Reproduction and Development, Ministry of Education","Chongqing, 400715, China",Southwest University
Key Laboratory of High Performance Ship Technology,"Ministry of Education, Wuhan University of Technology, Wuhan, China; Key Laboratory of Marine Power Engineering and Technology, Ministry of Communications, Wuhan University of Technology, Wuhan, 430063, China; School of Energy and Power Engineering, Wuhan University of Technology, Wuhan, 430063, China",Wuhan University of Technology
"Inst. of Otolaryngology, Chinese PLA General Hospital; Key Laboratory of Hearing Impairment Science, Ministry of Education; Beijing Key Laboratory of Hearing Impairment Prevention and Treatment, Department of Otolaryngology Head and Neck Surgery","Beijing, 100853, China",Chinese PLA General Hospital
"Ministry of Education Key Laboratory of Cell Proliferation, College of Life Sciences, Peking-Tsinghua Center for Life Sciences","Beijing, China",Peking University
"State Key Laboratory of Explosion Science and Technology, Explosion Protection and Emergency Disposal Technology Engineering Research Center, Ministry of Education, Beijing Institute of Technology","Beijing, 100081, China",Beijing Institute of Technology
"Key Lab. of Microsystem and Microstructure, Ministry of Education, Harbin Institute of Technology","No. 2 YiKuang Street, Harbin, 150080, China",Harbin Institute of Technology
"Key Laboratory of Ecological and Recycle Metallurgy, Ministry of Education of China","Beijing 100083, China",University of Science and Technology Beijing
Key Laboratory of Coalbed Methane Resources and Reservoir-Forming Ministry of Education,"Xuzhou 221008, China",China University of Mining and Technology
"Hubei Key Laboratory of Novel Reactor and Green Chemical Technology, Key Laboratory for Green Chemical Process of Ministry of Education, Key Laboratory of Novel Biomass-Based Environmental and Energy Materials in Petroleum and Chemical Industry, School of Chemical Engineering and Pharmacy, Wuhan Institute of Technology","Wuhan, 430072, China",Wuhan Institute of Technology
"Key Laboratory for Tropical Pharmaceutical Herb Chemistry, Ministry of Education","Haikou, China",Hainan University
"Xinjiang Jinghe Observation and Research Station of Temperate Desert Ecosystem, Ministry of Education","Urumqi, 830046, China",Xinjiang University
"Jt. Intl. Research Laboratory of Intelligent Information Processing and System Integration of IoT, Ministry of Education","Guangzhou, 510006, China",South China University of Technology
"The Key Laboratory of Intelligent Information Processing and System Integration of IoT, Ministry of Education of the P.R. C.","Guangzhou, 510006, China",South China University of Technology
"Min. of Educ. Key Lab. of Virology, College of Life Science, Wuhan Univ., Wuhan, Hubei 430072, P.",China,Wuhan University
"1Key Laboratory of Road and Traffic Engineering of the Ministry of Education, College of Transportation Engineering, Tongji Univ.","4800 cao'An Rd., Shanghai, China",Tongji University
"Mine Digitization Engineering Research Center, Ministry of Education of the People’s Republic of China","Xuzhou, 221116, China",China University of Mining and Technology
"Key Lab. of Pwr. Syst. Protect. and Dynamic Secty. Monitoring and Contr. (N. China Elec. Pwr. Univ.), Ministry of Education","Beijing 102206, Changping District, China",North China Electric Power University
"Engineering Research Center of Phosphorus Resources Development and Utilization, Ministry of Education, Wuhan Institute of Technology","Hubei, Wuhan, 430205, China",Wuhan Institute of Technology
"Key Laboratory of Structure-Based Drug Design and Discovery, Ministry of Education",China,Shandong University
"Ministry of Education, Key Laboratory of Formula of Traditional Chinese Medicine","Tianjin, 300193, China",Tianjin University
"Key Laboratory of Biomimetic Robots and Systems, Ministry of Education, Beijing Institute of Technology","Beijing 100081, China",Beijing Institute of Technology
"Academy of Disaster Reduction and Emergency Management, Ministry of Civil Affairs and Ministry of Education, The Peoples' Republic of China","Beijing, 100875, China",Unknown
"Engineering Research Center of Eco-environment in Three Gorges Reservoir Region, Ministry of Education","No. 8 Daxue Road, Xilin District, Yichang, 443002, China",China Three Gorges University
"Key Laboratory for Agricultural Soil and Water Engineering in Arid Area of Ministry of Education, Northwest A&F Univ.","Yangling, China",Northwest A&F University
"Key Laboratory of Automobile Materials, Ministry of Education, Department of Materials Science and Engineering","Changchun, 130025, Nanling Campus, No.5988 Renmin St., China",Jilin University
Key Laboratory of Advanced Control and Optimization for Chemical Processes of Ministry of Education,"Shanghai, 200237, China",East China University of Science and Technology
"East China Institute of Technology, Key Laboratory of Nuclear Resources and Environment, Ministry of Education","Nangchang, Jiangxi 330013, China",East China University of Technology
